DateTime,Truck,Solar_production_kWh,Energy_consumption_kWh,Price_per_kWh
1/1/2024 0:00,0,0,163.0169279,0.1247
1/1/2024 1:00,0,0,203.6372082,0.1247
1/1/2024 2:00,0,0,216.6516186,0.134
1/1/2024 3:00,0,0,216.3615562,0.0588
1/1/2024 4:00,0,0,184.9524035,0.03767
1/1/2024 5:00,0,0,162.9642961,0.0397
1/1/2024 6:00,1,0,140.6699019,0.04059
1/1/2024 7:00,1,0,182.0343496,0.04326
1/1/2024 8:00,1,0,192.3026531,0.04966
1/1/2024 9:00,1,37.365,207.0309739,0.07005
1/1/2024 10:00,1,63.45,168.8728886,0.07679
1/1/2024 11:00,1,76.575,209.0896666,0.0841
1/1/2024 12:00,0,60.585,227.5499728,0.09474
1/1/2024 13:00,0,31.815,196.7548882,0.0968
1/1/2024 14:00,0,15.675,173.047082,0.09717
1/1/2024 15:00,0,0,156.5629753,0.10127
1/1/2024 16:00,0,0,153.5431609,0.1266
1/1/2024 17:00,1,0,166.975541,0.14997
1/1/2024 18:00,1,0,169.8350025,0.14633
1/1/2024 19:00,1,0,161.9161562,0.14028
1/1/2024 20:00,1,0,178.9769384,0.12188
1/1/2024 21:00,0,0,157.618174,0.10261
1/1/2024 22:00,0,0,153.4289196,0.09746
1/1/2024 23:00,0,0,155.7287536,0.08516
1/2/2024 0:00,0,0,163.6630614,0.05708
1/2/2024 1:00,0,0,192.4190483,0.05259
1/2/2024 2:00,0,0,171.2703354,0.04897
1/2/2024 3:00,0,0,178.6427627,0.03494
1/2/2024 4:00,0,0,189.315161,0.02956
1/2/2024 5:00,0,0,158.2953668,0.03397
1/2/2024 6:00,0,0,176.1386688,0.03452
1/2/2024 7:00,0,0,157.8190189,0.0418
1/2/2024 8:00,0,0,137.5594505,0.04895
1/2/2024 9:00,0,19.92,185.6880457,0.06001
1/2/2024 10:00,0,27.045,220.5586904,0.07009
1/2/2024 11:00,0,40.875,233.8830963,0.06626
1/2/2024 12:00,1,45.12,207.6934381,0.06454
1/2/2024 13:00,1,37.335,174.7712907,0.04696
1/2/2024 14:00,1,19.605,193.0783319,0.04906
1/2/2024 15:00,1,0,188.6855831,0.07499
1/2/2024 16:00,1,0,163.1836037,0.085
1/2/2024 17:00,1,0,171.6384948,0.1
1/2/2024 18:00,0,0,145.0713371,0.1099
1/2/2024 19:00,0,0,188.1570243,0.0999
1/2/2024 20:00,0,0,172.4539057,0.077
1/2/2024 21:00,0,0,189.925555,0.04616
1/2/2024 22:00,0,0,177.4235194,0.04629
